datetime,station_antwerp,station_paris,station_london
2019-05-07 02:00:00,,,23.0
2019-05-07 03:00:00,50.5,25.0,19.0
2019-05-07 04:00:00,45.0,27.7,19.0
2019-05-07 05:00:00,,50.4,16.0
2019-05-07 06:00:00,,61.9,
2019-05-07 07:00:00,,72.4,26.0
2019-05-07 08:00:00,,77.7,32.0
2019-05-07 09:00:00,,67.9,32.0
2019-05-07 10:00:00,,56.0,28.0
2019-05-07 11:00:00,,34.5,21.0
2019-05-07 12:00:00,,20.1,21.0
2019-05-07 13:00:00,,13.0,18.0
2019-05-07 14:00:00,,10.6,20.0
2019-05-07 15:00:00,,13.2,18.0
2019-05-07 16:00:00,,11.0,20.0
2019-05-07 17:00:00,,11.7,20.0
2019-05-07 18:00:00,,18.2,21.0
2019-05-07 19:00:00,,22.3,20.0
2019-05-07 20:00:00,,21.4,20.0
2019-05-07 21:00:00,,26.8,24.0
2019-05-07 22:00:00,,36.2,24.0
2019-05-07 23:00:00,,33.9,
2019-05-08 00:00:00,,35.8,24.0
2019-05-08 01:00:00,,34.0,19.0
2019-05-08 02:00:00,,22.1,19.0
2019-05-08 03:00:00,23.0,19.6,20.0
2019-05-08 04:00:00,20.5,15.3,20.0
2019-05-08 05:00:00,,13.5,19.0
2019-05-08 06:00:00,,15.5,19.0
2019-05-08 07:00:00,,19.3,29.0
2019-05-08 08:00:00,,21.7,34.0
2019-05-08 09:00:00,,19.5,36.0
2019-05-08 10:00:00,,17.0,33.0
2019-05-08 11:00:00,,19.7,28.0
2019-05-08 12:00:00,,33.4,27.0
2019-05-08 13:00:00,,21.4,26.0
2019-05-08 14:00:00,,15.1,26.0
2019-05-08 15:00:00,,14.3,24.0
2019-05-08 16:00:00,,25.3,27.0
2019-05-08 17:00:00,,26.0,28.0
2019-05-08 18:00:00,,38.6,31.0
2019-05-08 19:00:00,,29.3,40.0
2019-05-08 20:00:00,,27.8,25.0
2019-05-08 21:00:00,,41.3,29.0
2019-05-08 22:00:00,,38.3,26.0
2019-05-08 23:00:00,,48.9,
2019-05-09 00:00:00,,32.2,25.0
2019-05-09 01:00:00,,25.2,30.0
2019-05-09 02:00:00,,14.7,
2019-05-09 03:00:00,20.0,10.6,31.0
2019-05-09 04:00:00,20.5,10.0,31.0
2019-05-09 05:00:00,,10.4,33.0
2019-05-09 06:00:00,,15.3,33.0
2019-05-09 07:00:00,,34.5,33.0
2019-05-09 08:00:00,,50.7,33.0
